url,texto,precio_texto,area_m2,habitaciones,banos,parqueaderos,tipo,sector,ciudad
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-2-habitaciones-2-banos-1-garajes/MC6890558?src_url=%2Farriendo%2F%3Fsearch%3Dform,"SANTA BARBARA OCCIDENTAL Zona Urbana | Norte | Bogotá D.C. $3.900.000 Apartamento en Arriendo, SANTA BARBARA OCCIDENTAL Zona Urbana, Bogotá D.C.",$3.900.000,50,2,2,1,Apartamento en Arriendo,SANTA BARBARA OCCIDENTAL Zona Urbana,Bogotá D.C. Foto de Apartamento en Arriendo en SANTA BARBARA OCCIDENTAL Zona Urbana
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-pardo-rubio-1-habitaciones-1-banos/MC7062776?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CHAPINERO Zona Urbana | Chapinero | Bogotá D.C. $2.000.000 Apartamento en Arriendo, CHAPINERO Zona Urbana, Bogotá D.C.",$2.000.000,31,1,1,,Apartamento en Arriendo,CHAPINERO Zona Urbana,Bogotá D.C. Foto de Apartamento en Arriendo en CHAPINERO Zona Urbana
https://www.metrocuadrado.com/inmueble/arriendo-oficina-bogota-north-point-iii-cedritos-2-banos-3-garajes/MC6705364?src_url=%2Farriendo%2F%3Fsearch%3Dform,"NORTH POINT III Cedritos | Norte | Bogotá D.C. $8.200.000 Oficina en Arriendo, NORTH POINT III Cedritos, Bogotá D.C.",$8.200.000,137,,2,3,,NORTH POINT III Cedritos,Bogotá D.C. Foto de Oficina en Arriendo en NORTH POINT III Cedritos
https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-bogota-villa-elisa-2-banos/MC7057320?src_url=%2Farriendo%2F%3Fsearch%3Dform,"SUBA VILLA ELISA Altos de Suba y Cerros de San Jorge | Noroccidente | Bogotá D.C. $15.000.000 Local Comercial en Arriendo, SUBA VILLA ELISA Altos de Suba y Cerros de San Jorge, Bogotá D.C.",$15.000.000,247,,2,,,SUBA VILLA ELISA Altos de Suba y Cerros de San Jorge,Bogotá D.C. Foto de Local Comercial en Arriendo en SUBA VILLA ELISA Altos de Suba y Cerros de San Jorge
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-3-habitaciones-2-banos-2-garajes/4660-M7030356?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Los Balsos | Medellín Bajó de precio $6.200.000 Apartamento en Arriendo, Los Balsos, Medellín",$6.200.000,117,3,2,2,Apartamento en Arriendo,Los Balsos,Medellín Foto de Apartamento en Arriendo en Los Balsos
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no.-1-3-habitaciones-2-banos-1-garajes/MC6617852?src_url=%2Farriendo%2F%3Fsearch%3Dform,"El Poblado las Palmas | Nororiente | Medellín $5.000.000 Apartamento en Arriendo, El Poblado las Palmas, Medellín",$5.000.000,95,3,2,1,Apartamento en Arriendo,El Poblado las Palmas,Medellín Foto de Apartamento en Arriendo en El Poblado las Palmas
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-granada-norte-2-habitaciones-2-banos-1-garajes/MC2307922?src_url=%2Farriendo%2F%3Fsearch%3Dform,"SAN CIPRIANO 170 y Alredores | Noroccidente | Bogotá D.C. $1.950.000 Apartamento en Arriendo, SAN CIPRIANO 170 y Alredores, Bogotá D.C.",$1.950.000,42,2,2,1,Apartamento en Arriendo,SAN CIPRIANO 170 y Alredores,Bogotá D.C. Foto de Apartamento en Arriendo en SAN CIPRIANO 170 y Alredores
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-2-habitaciones-2-banos-1-garajes/4334-M6928471?src_url=%2Farriendo%2F%3Fsearch%3Dform,"El Poblado | Medellín $3.500.000 Apartamento en Arriendo, El Poblado, Medellín",$3.500.000,100,2,2,1,Apartamento en Arriendo,El Poblado,Medellín Foto de Apartamento en Arriendo en El Poblado
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-la-frontera-1-habitaciones-2-banos-1-garajes/4334-M6761944?src_url=%2Farriendo%2F%3Fsearch%3Dform,"La Frontera | Medellín $3.300.000 Apartaestudio en Arriendo, La Frontera, Medellín",$3.300.000,75,1,2,1,Apartaestudio en Arriendo,La Frontera,Medellín Foto de Apartaestudio en Arriendo en La Frontera
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-pereira-galicia-2-habitaciones-2-banos-1-garajes/23036-M6862685?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Galicia | Pereira $2.200.000 Apartamento en Arriendo, Galicia, Pereira",$2.200.000,65,2,2,1,Apartamento en Arriendo,Galicia,Pereira Foto de Apartamento en Arriendo en Galicia
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-bogota-antiguo-country-1-habitaciones-2-banos/11203-M6615637?src_url=%2Farriendo%2F%3Fsearch%3Dform,"PARQUE DEL VIRREY | Norte | Bogotá D.C. $3.630.000 Apartaestudio en Arriendo, PARQUE DEL VIRREY, Bogotá D.C.",$3.630.000,52,1,2,,Apartaestudio en Arriendo,PARQUE DEL VIRREY,Bogotá D.C. Foto de Apartaestudio en Arriendo en PARQUE DEL VIRREY
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-mosquera-sol-creciente-3-habitaciones-3-banos-2-garajes/10159-M7078274?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Sol Creciente | Mosquera $3.000.000 Apartamento en Arriendo, Sol Creciente, Mosquera",$3.000.000,97,3,3,2,Apartamento en Arriendo,Sol Creciente,Mosquera Foto de Apartamento en Arriendo en Sol Creciente
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-conjunto-residencial-turpial-2-habitaciones-2-banos-1-garajes/22850-M6695124?src_url=%2Farriendo%2F%3Fsearch%3Dform,"ALAMEDA DEL RIO | Noroccidente | Barranquilla $1.400.000 Apartamento en Arriendo, ALAMEDA DEL RIO, Barranquilla",$1.400.000,56,2,2,1,Apartamento en Arriendo,ALAMEDA DEL RIO,Barranquilla Foto de Apartamento en Arriendo en ALAMEDA DEL RIO
https://www.metrocuadrado.com/inmueble/arriendo-casa-cali-cnd.-pance-campestre-3-habitaciones-5-banos-4-garajes/16395-M4881055?src_url=%2Farriendo%2F%3Fsearch%3Dform,"ALAMEDA PANCE | Sur | Cali $12.500.000 Casa en Arriendo, ALAMEDA PANCE, Cali",$12.500.000,500,3,5,4,Casa en Arriendo,ALAMEDA PANCE,Cali Foto de Casa en Arriendo en ALAMEDA PANCE
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-bibiana-3-habitaciones-3-banos-2-garajes/2162-M6806541?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CHICO NAVARRA | Norte | Bogotá D.C. $7.900.000 Apartamento en Arriendo, CHICO NAVARRA, Bogotá D.C.",$7.900.000,23,3,3,2,Apartamento en Arriendo,CHICO NAVARRA,Bogotá D.C. Foto de Apartamento en Arriendo en CHICO NAVARRA
https://www.metrocuadrado.com/inmueble/arriendo-casa-chia-san-jacinto-chia-cundinamarca-4-habitaciones-5-banos-4-garajes/17003-M7067245?src_url=%2Farriendo%2F%3Fsearch%3Dform,"San Jacinto Chia Cundinamarca | Chía $17.000.000 Casa en Arriendo, San Jacinto Chia Cundinamarca, Chía",$17.000.000,1609,4,5,4,Casa en Arriendo,San Jacinto Chia Cundinamarca,Chía Foto de Casa en Arriendo en San Jacinto Chia Cundinamarca
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-na-3-habitaciones-4-banos-3-garajes/3858-M7078573?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Chico | Bogotá D.C. $11.500.000 Apartamento en Arriendo, Chico, Bogotá D.C.",$11.500.000,230,3,4,3,Apartamento en Arriendo,Chico,Bogotá D.C. Foto de Apartamento en Arriendo en Chico
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-santa-marta-pozos-colorado-3-habitaciones-2-banos-1-garajes/10860-M4725032?src_url=%2Farriendo%2F%3Fsearch%3Dform,"BAHIA POZOS COLORADOS | Rodadero y Gaira | Santa Marta $480.000 Apartamento en Arriendo, BAHIA POZOS COLORADOS, Santa Marta",$480.000,87,3,2,1,Apartamento en Arriendo,BAHIA POZOS COLORADOS,Santa Marta Foto de Apartamento en Arriendo en BAHIA POZOS COLORADOS
https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-4-habitaciones-4-banos-2-garajes/687-M7075409?src_url=%2Farriendo%2F%3Fsearch%3Dform,"EL POBLADO | Suroriente | Medellín $15.500.000 Casa en Arriendo, EL POBLADO, Medellín",$15.500.000,450,4,4,2,Casa en Arriendo,EL POBLADO,Medellín Foto de Casa en Arriendo en EL POBLADO
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-rosales-3-habitaciones-4-banos-3-garajes/800-M6095422?src_url=%2Farriendo%2F%3Fsearch%3Dform,"LAS ROSALES | Norte | Bogotá D.C. $20.000.000 Apartamento en Arriendo, LAS ROSALES, Bogotá D.C.",$20.000.000,330,3,4,3,Apartamento en Arriendo,LAS ROSALES,Bogotá D.C. Foto de Apartamento en Arriendo en LAS ROSALES
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-et-ii-3-habitaciones-3-banos-2-garajes/800-M6188649?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CHICO NORTE | Norte | Bogotá D.C. $12.000.000 Apartamento en Arriendo, CHICO NORTE, Bogotá D.C.",$12.000.000,150,3,3,2,Apartamento en Arriendo,CHICO NORTE,Bogotá D.C. Foto de Apartamento en Arriendo en CHICO NORTE
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-3-habitaciones-3-banos-3-garajes/800-M6090487?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CHICO NORTE | Norte | Bogotá D.C. $12.900.000 Apartamento en Arriendo, CHICO NORTE, Bogotá D.C.",$12.900.000,174,3,3,3,Apartamento en Arriendo,CHICO NORTE,Bogotá D.C. Foto de Apartamento en Arriendo en CHICO NORTE
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-cabrera-3-habitaciones-5-banos-3-garajes/800-M5804164?src_url=%2Farriendo%2F%3Fsearch%3Dform,"LA CABRERA | Norte | Bogotá D.C. $18.000.000 Apartamento en Arriendo, LA CABRERA, Bogotá D.C.",$18.000.000,220,3,5,3,Apartamento en Arriendo,LA CABRERA,Bogotá D.C. Foto de Apartamento en Arriendo en LA CABRERA
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-cabrera-3-habitaciones-4-banos-3-garajes/800-M6139539?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CHICO LA CABRERA | Norte | Bogotá D.C. $13.438.000 Apartamento en Arriendo, CHICO LA CABRERA, Bogotá D.C.",$13.438.000,136,3,4,3,Apartamento en Arriendo,CHICO LA CABRERA,Bogotá D.C. Foto de Apartamento en Arriendo en CHICO LA CABRERA
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-lago-gaitan-2-habitaciones-2-banos-1-garajes/23602-M6922438?src_url=%2Farriendo%2F%3Fsearch%3Dform,"LAGO GAITAN | Norte | Bogotá D.C. $7.900.000 Apartamento en Arriendo, LAGO GAITAN, Bogotá D.C.",$7.900.000,100,2,2,1,Apartamento en Arriendo,LAGO GAITAN,Bogotá D.C. Foto de Apartamento en Arriendo en LAGO GAITAN
https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-santa-barbara-alta-3-habitaciones-5-banos-4-garajes/836-M2191965?src_url=%2Farriendo%2F%3Fsearch%3Dform,"SANTA BARBARA ALTA | Norte | Bogotá D.C. $4.000.000.000 Apartamento en Venta y Arriendo, SANTA BARBARA ALTA, Bogotá D.C.",$4.000.000.000,516,3,5,4,Apartamento en Arriendo,,
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-et.-ii-3-habitaciones-5-banos-3-garajes/800-M5703513?src_url=%2Farriendo%2F%3Fsearch%3Dform,"CHICO RESERVADO | Norte | Bogotá D.C. $12.000.000 Apartamento en Arriendo, CHICO RESERVADO, Bogotá D.C.",$12.000.000,275,3,5,3,Apartamento en Arriendo,CHICO RESERVADO,Bogotá D.C. Foto de Apartamento en Arriendo en CHICO RESERVADO
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-cajica-calahorra-1-habitaciones-1-banos-1-garajes/21222-M6161995?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Destacado Conjunto Pietra Cajica | Otros | Cajicá Disponible ahora $1.860.000 Apartaestudio en Arriendo, Conjunto Pietra Cajica, Cajicá",$1.860.000,46,1,1,1,Apartaestudio en Arriendo,Conjunto Pietra Cajica,Cajicá Foto de Apartaestudio en Arriendo en Conjunto Pietra Cajica
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-2-habitaciones-3-banos-2-garajes/16285-M6983394?src_url=%2Farriendo%2F%3Fsearch%3Dform,"PARQUE DEL VIRREY | Norte | Bogotá D.C. $6.660.000 Apartamento en Arriendo, PARQUE DEL VIRREY, Bogotá D.C.",$6.660.000,101,2,3,2,Apartamento en Arriendo,PARQUE DEL VIRREY,Bogotá D.C. Foto de Apartamento en Arriendo en PARQUE DEL VIRREY
https://www.metrocuadrado.com/inmueble/arriendo-casa-cali-granada-3-habitaciones-5-banos-3-garajes/21430-M6924414?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Destacado SANTA MONICA RESIDENCIAL | Oeste | Cali $6.500.000 Casa en Arriendo, SANTA MONICA RESIDENCIAL, Cali",$6.500.000,362.5,3,5,3,Casa en Arriendo,SANTA MONICA RESIDENCIAL,Cali Foto de Casa en Arriendo en SANTA MONICA RESIDENCIAL
https://www.metrocuadrado.com/inmueble/arriendo-casa-armenia-sec-centro-5-habitaciones-5-banos-4-garajes/20019-M6124696?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Avenida 19 Norte | Sur y Alrededores al Aeropuerto | Armenia $5.500.000 Casa en Arriendo, Avenida 19 Norte, Armenia",$5.500.000,250,5,5,4,Casa en Arriendo,Avenida 19 Norte,Armenia Foto de Casa en Arriendo en Avenida 19 Norte
https://www.metrocuadrado.com/inmueble/arriendo-oficina-bogota-sagrado-corazon-5-banos-3-garajes/5161-M6713892?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Chapinero | Bogotá D.C. $12.000.000 Oficina en Arriendo, Bogotá D.C.",$12.000.000,540,,5,3,,Bogotá D.C. Foto de Oficina en Arriendo en SAGRADO CORAZON,Bogotá D.C. con 5 baños
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-retiro-3-habitaciones-3-banos-3-garajes/800-M5698334?src_url=%2Farriendo%2F%3Fsearch%3Dform,"EL RETIRO | Norte | Bogotá D.C. $10.000.000 Apartamento en Arriendo, EL RETIRO, Bogotá D.C.",$10.000.000,192,3,3,3,Apartamento en Arriendo,EL RETIRO,Bogotá D.C. Foto de Apartamento en Arriendo en EL RETIRO
https://www.metrocuadrado.com/inmueble/arriendo-casa-cota-incluye-siberia-vereda-parcelas-de-cota-3-habitaciones-5-banos-4-garajes/4660-M5007587?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Vereda Parcelas De Cota | Cota (Incluye Siberia) $10.000.000 Casa en Arriendo, Vereda Parcelas De Cota, Cota (Incluye Siberia)",$10.000.000,232,3,5,4,Casa en Arriendo,Vereda Parcelas De Cota,Cota (Incluye Siberia) Foto de Casa en Arriendo en Vereda Parcelas De Cota
https://www.metrocuadrado.com/inmueble/arriendo-oficina-bogota-estoril-4-banos/2368-M5703787?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Estoril | Noroccidente | Bogotá D.C. $6.000.000 Oficina en Arriendo, Estoril, Bogotá D.C.",$6.000.000,300,,4,,,Estoril,Bogotá D.C. Foto de Oficina en Arriendo en Estoril
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-chia-bachue-2-habitaciones-2-banos/23943-M7064556?src_url=%2Farriendo%2F%3Fsearch%3Dform,"VALVERDE OLIVO | Otros | Chía $1.500.000 Apartamento en Arriendo, VALVERDE OLIVO, Chía",$1.500.000,42,2,2,,Apartamento en Arriendo,VALVERDE OLIVO,Chía Foto de Apartamento en Arriendo en VALVERDE OLIVO
https://www.metrocuadrado.com/inmueble/venta-casa-bogota-sucre-5-habitaciones-5-banos-4-garajes/4830-M2829165?src_url=%2Farriendo%2F%3Fsearch%3Dform,"JAVERIANA SUCRE | Chapinero | Bogotá D.C. $4.500.000.000.000 Casa en Venta y Arriendo, JAVERIANA SUCRE, Bogotá D.C.",$4.500.000.000.000,550,5,5,4,Casa en Arriendo,,
https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-santa-ana-oriental-5-habitaciones-5-banos-2-garajes/16146-M7063318?src_url=%2Farriendo%2F%3Fsearch%3Dform,"SANTA ANA ORIENTAL | Norte | Bogotá D.C. $22.000.000 Casa en Arriendo, SANTA ANA ORIENTAL, Bogotá D.C.",$22.000.000,550,5,5,2,Casa en Arriendo,SANTA ANA ORIENTAL,Bogotá D.C. Foto de Casa en Arriendo en SANTA ANA ORIENTAL
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-cartagena-de-indias-zona-norte-2-habitaciones-2-banos-1-garajes/16124-M5174940?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Zona Norte | Cartagena de Indias $4.500.000 Apartamento en Arriendo, Zona Norte, Cartagena de Indias",$4.500.000,80,2,2,1,Apartamento en Arriendo,Zona Norte,Cartagena de Indias Foto de Apartamento en Arriendo en Zona Norte
https://www.metrocuadrado.com/inmueble/arriendo-oficina-bogota-quinta-camacho-2-banos-3-garajes/848-M5190524?src_url=%2Farriendo%2F%3Fsearch%3Dform,"QUINTA CAMACHO | Chapinero | Bogotá D.C. $16.980.000 Oficina en Arriendo, QUINTA CAMACHO, Bogotá D.C.",$16.980.000,142,,2,3,,QUINTA CAMACHO,Bogotá D.C. Foto de Oficina en Arriendo en QUINTA CAMACHO
https://www.metrocuadrado.com/inmueble/arriendo-casa-cajica-chuntame-4-habitaciones-4-banos-4-garajes/2368-M6516079?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Chuntame | Cajicá $5.100.000 Casa en Arriendo, Chuntame, Cajicá",$5.100.000,280,4,4,4,Casa en Arriendo,Chuntame,Cajicá Foto de Casa en Arriendo en Chuntame
https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-niza-4-habitaciones-5-banos-4-garajes/18942-M6871807?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Niza | Bogotá D.C. $15.000.000 Apartamento en Arriendo, Niza, Bogotá D.C.",$15.000.000,615,4,5,4,Apartamento en Arriendo,Niza,Bogotá D.C. Foto de Apartamento en Arriendo en Niza
https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-chico-norte-et.-iii-5-habitaciones-5-banos-2-garajes/16649-M5044930?src_url=%2Farriendo%2F%3Fsearch%3Dform,"PARQUE EL CHICO | Norte | Bogotá D.C. $37.000.000 Casa en Arriendo, PARQUE EL CHICO, Bogotá D.C.",$37.000.000,860,5,5,2,Casa en Arriendo,PARQUE EL CHICO,Bogotá D.C. Foto de Casa en Arriendo en PARQUE EL CHICO
https://www.metrocuadrado.com/inmueble/arriendo-casa-sopo-incluye-yerbabuena-centro-3-habitaciones-3-banos-4-garajes/14335-M6718301?src_url=%2Farriendo%2F%3Fsearch%3Dform,"Centro | Sopo (Incluye Yerbabuena) $13.500.000 Casa en Arriendo, Centro, Sopo (Incluye Yerbabuena)",$13.500.000,320,3,3,4,Casa en Arriendo,Centro,Sopo (Incluye Yerbabuena) Foto de Casa en Arriendo en Centro
