url,id_inmueble,texto,precio_texto,area_m2,habitaciones,banos,parqueaderos,sector,ciudad,tipo_inmueble,operacion,fecha_extraccion
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-laureles-1-habitaciones-2-banos-2-garajes/22302-M6945903,22302-M6945903,"Laureles | Medellín $3.000.000 Apartaestudio en Arriendo, Laureles, Medellín",$3.000.000,80,1,2,2,Laureles,Medellín,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-cali-el-refugio-1-habitaciones-1-banos-1-garajes/19536-M5744933,19536-M5744933,"El Refugio | Cali $4.100.000 Apartaestudio en Arriendo, El Refugio, Cali",$4.100.000,56,1,1,1,El Refugio,Cali,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-barranquilla-san-vicente-1-habitaciones-1-banos-1-garajes/9889-M4361036,9889-M4361036,"San Vicente | Barranquilla $2.800.000 Apartaestudio en Arriendo, San Vicente, Barranquilla",$2.800.000,40,1,1,1,San Vicente,Barranquilla,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-retiro-na-1-habitaciones-2-banos-1-garajes/23054-M7036271,23054-M7036271,"La Fe | Retiro $6.000.000 Apartaestudio en Arriendo, La Fe, Retiro",$6.000.000,75,1,2,1,La Fe,Retiro,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-bogota-ub-castilla-real-2-habitaciones-1-banos/19709-M7036087,19709-M7036087,"VILLA ALSACIA | Occidental | Bogotá D.C. $1.325.000 Apartaestudio en Arriendo, VILLA ALSACIA, Bogotá D.C.",$1.325.000,38,2,1,,VILLA ALSACIA,Bogotá D.C.,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-bogota-chico-norte-et-ii-1-habitaciones-1-banos/22377-M6556614,22377-M6556614,"Destacado CHICO NORTE | Norte | Bogotá D.C. $2.950.000 Apartaestudio en Arriendo, CHICO NORTE, Bogotá D.C.",$2.950.000,30,1,1,,CHICO NORTE,Bogotá D.C.,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-el-poblado-1-habitaciones-2-banos-1-garajes/16487-M6526584,16487-M6526584,"El Poblado | Medellín $5.500.000 Apartaestudio en Arriendo, El Poblado, Medellín",$5.500.000,80,1,2,1,El Poblado,Medellín,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-bogota-chico-1-habitaciones-1-banos-1-garajes/17754-M6373483,17754-M6373483,"Chico | Bogotá D.C. $4.000.000 Apartaestudio en Arriendo, Chico, Bogotá D.C.",$4.000.000,35,1,1,1,Chico,Bogotá D.C.,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-envigado-la-pradera-1-habitaciones-2-banos-1-garajes/23054-M6942916,23054-M6942916,"Loma De Las Brujas | Envigado $3.900.000 Apartaestudio en Arriendo, Loma De Las Brujas, Envigado",$3.900.000,75,1,2,1,Loma De Las Brujas,Envigado,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-barranquilla-andalucia-1-habitaciones-1-banos-2-garajes/23247-M6820393,23247-M6820393,"Destacado Altos De Riomar | Noroccidente | Barranquilla Disponible ahora $2.500.000 Apartaestudio en Arriendo, Altos De Riomar, Barranquilla",$2.500.000,48,1,1,2,Altos De Riomar,Barranquilla,apartaestudio,arriendo,2026-09-10T04:25:40+00:00
