url,id_inmueble,texto,precio_texto,area_m2,habitaciones,banos,parqueaderos,sector,ciudad,tipo_inmueble,operacion,fecha_extraccion
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bucaramanga-centro-1-habitaciones-1-banos/19075-M7031664,19075-M7031664,"BOLIVAR | Centro | Bucaramanga $160.000.000 Apartaestudio en Venta, BOLIVAR, Bucaramanga",$160.000.000,32,1,1,,BOLIVAR,Bucaramanga,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-gran-america-1-habitaciones-1-banos/MC6992347,MC6992347,"GRAN AMERICA Centro Nariño | Occidental | Bogotá D.C. $260.000.000 Apartaestudio en Venta, GRAN AMERICA Centro Nariño, Bogotá D.C.",$260.000.000,20,1,1,,GRAN AMERICA Centro Nariño,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-las-nieves-1-habitaciones-1-banos-1-garajes/21209-M7030000,21209-M7030000,"CENTRO LAS NIEVES | Centro | Bogotá D.C. $345.000.000 Apartaestudio en Venta, CENTRO LAS NIEVES, Bogotá D.C.",$345.000.000,32,1,1,1,CENTRO LAS NIEVES,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-chapinero-central-1-habitaciones-1-banos/234-M6855334,234-M6855334,"CHAPINERO CENTRAL | Chapinero | Bogotá D.C. $230.000.000 Apartaestudio en Venta, CHAPINERO CENTRAL, Bogotá D.C.",$230.000.000,25.87,1,1,,CHAPINERO CENTRAL,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-jamundi-el-castillo-3-habitaciones-4-banos-3-garajes/18475-M7034599,18475-M7034599,"El Castillo | Jamundi $650.000.000 Apartaestudio en Venta, El Castillo, Jamundi",$650.000.000,160,3,4,3,El Castillo,Jamundi,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-barranquilla-paraiso-2-habitaciones-2-banos-1-garajes/23048-M7001418,23048-M7001418,"Paraiso | Barranquilla $680.000.000 Apartaestudio en Venta, Paraiso, Barranquilla",$680.000.000,65,2,2,1,Paraiso,Barranquilla,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-chico-1-habitaciones-2-banos-2-garajes/23522-M6943410,23522-M6943410,"PARQUE EL VIRREY | Norte | Bogotá D.C. $830.000.000 Apartaestudio en Venta, PARQUE EL VIRREY, Bogotá D.C.",$830.000.000,58,1,2,2,PARQUE EL VIRREY,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-santa-marta-na-3-habitaciones-3-banos-1-garajes/22146-M6764813,22146-M6764813,"Playa Salguero | Santa Marta $790.000.000 Apartaestudio en Venta, Playa Salguero, Santa Marta",$790.000.000,85,3,3,1,Playa Salguero,Santa Marta,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-el-recuerdo-1-habitaciones-1-banos-1-garajes/21246-M6867869,21246-M6867869,"el recuerdo (corferias) | Occidental | Bogotá D.C. $410.000.000 Apartaestudio en Venta, el recuerdo (corferias), Bogotá D.C.",$410.000.000,26,1,1,1,el recuerdo (corferias),Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-santa-marta-bello-horizonte-1-habitaciones-1-banos-1-garajes/22146-M6420136,22146-M6420136,"Bello Horizonte | Santa Marta $420.000.000 Apartaestudio en Venta, Bello Horizonte, Santa Marta",$420.000.000,28.15,1,1,1,Bello Horizonte,Santa Marta,apartaestudio,venta,2026-09-10T04:25:40+00:00
